,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.75,0.8,0.9,1.0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SlopeTest,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.75,0.8,0.9,1.0
Power Optimizer L,0.9784999999999999,0.9871842900302116,0.992044058408862,0.9940480866062438,0.995,0.9952,0.9949498992950656,0.9949498992950656,0.995,0.9946492950654584,0.9946492950654584
MPPT CC L,0.9871,0.9904000000000001,0.9906,0.9911,0.9915999999999999,0.9918,0.9915999999999999,0.9914499999999999,0.9913,0.991,0.9904999999999999
DC-DC HL 0-1,0.9096,0.9503,0.9639,0.9704999999999999,0.9737,0.9742000000000001,0.9753000000000001,0.9753000000000001,0.9753000000000001,0.9747,0.9742000000000001
DC-DC HL 1-5,0.971,0.9759,0.9779850769152145,0.9811970153830428,0.982,0.9817490673072009,0.9804442173046455,0.9796914192262484,0.9789386211478511,0.9770315326825779,0.9754999999999999
DC-DC LED Driver LL,0.9104000000000001,0.9433306568170868,0.9614817193940367,0.9721310422354263,0.97679995717574,0.98,0.98,0.9797901611262779,0.979580322252556,0.9786885070392377,0.9787934264760986
AC Transformer,0.9919,0.9934000000000001,0.9944,0.9944,0.9944,0.99396,0.99352,0.9933,0.99302,0.99246,0.992
AC Transformer Steve,0.9665,0.9792000000000001,0.9818000000000001,0.9818000000000001,0.9809,0.9793999999999999,0.9776,0.9765999999999999,0.9756,0.9736,0.9714
String Inverter L,0.963,0.971,0.978,0.9785,0.9790000000000001,0.9798,0.9806,0.981,0.9798,0.9774,0.977
String Inverter H,0.9790000000000001,0.986,0.987,0.987,0.987,0.9866,0.9862,0.986,0.9858,0.9854,0.985
Central Inverter,0.978,0.9840000000000001,0.9840000000000001,0.9865000000000002,0.9890000000000001,0.9882000000000001,0.9874,0.987,0.9866,0.9858,0.985
Microinverter L,0.953,0.965,0.9670000000000001,0.9690000000000001,0.971,0.9713999999999999,0.9718,0.972,0.9714,0.9702000000000001,0.9690000000000001
Microinverter H,0.951,0.961,0.9640000000000001,0.9650000000000001,0.966,0.966,0.966,0.966,0.9658,0.9654,0.965
Rectifier LED LL,0.8056,0.8804000000000001,0.9007999999999999,0.9129,0.9177,0.9205,0.9213,0.9217,0.9220999999999999,0.9213,0.922
Rectifier LED HL,0.8034,0.8693000000000001,0.8928,0.9037000000000001,0.9176000000000001,0.9259000000000001,0.9308,0.9327500000000001,0.9351,0.9366786230526257,0.94
Rectifier LL 0-1,0.8755,0.9133,0.9266,0.9333,0.9408,0.9418000000000001,0.9454,0.94505,0.9447,0.9439,0.9448000000000001
Rectifier LL 1-5,0.9023,0.9509000000000001,0.9604,0.9612,0.9604,0.961,0.9584999999999999,0.9573499999999999,0.9562,0.9562,0.9523999999999999
Rectifier HL 0-1,0.8798,0.9176000000000001,0.9309000000000001,0.9384999999999999,0.9451,0.9470000000000001,0.9489,0.94935,0.9498000000000001,0.9508,0.9508
Rectifier HL 1-15,0.9401,0.9576,0.9662000000000001,0.9682,0.9682,0.9665,0.9647,0.9643999999999999,0.9641,0.9634,0.9623999999999999
Rectifier LH,0.8837,0.9345,0.9492,0.9570000000000001,0.9599730299199326,0.9613412347239781,0.9620000000000001,0.9611132005899706,0.9602264011799412,0.9584528023598821,0.9563751580278129
Rectifier HH,0.9497,0.9690000000000001,0.9740000000000001,0.9756999999999999,0.9783,0.9777,0.9777,0.9773499999999999,0.977,0.9756999999999999,0.975
Grid Tie Inverter,0.9634323770491803,0.976485655737705,0.9794979508196722,0.9797489754098361,0.98,0.9795983606557378,0.9791967213114754,0.9789959016393442,0.978594262295082,0.9777909836065574,0.9769877049180328
Battery Inverter LL,0.9396,0.9538,0.9571,0.9544,0.9559999999999998,0.9535408360128618,0.94657320471597,0.9433499999999999,0.9416548767416936,0.9381710610932475,0.9323999999999999
Battery Inverter HL,0.9634323770491803,0.976485655737705,0.9794979508196722,0.9797489754098361,0.98,0.9795983606557378,0.9791967213114754,0.9789959016393442,0.978594262295082,0.9777909836065574,0.9769877049180328
HP Elite AC,0.867,0.867,0.867,0.867,0.867,0.867,0.867,0.868,0.868,0.866,0.866
HP Envy AC,0.871,0.871,0.871,0.871,0.871,0.87,0.8690000000000001,0.8690000000000001,0.868,0.868,0.853
HP Pavilion AC,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847
LED1 AC,0.853,0.853,0.853,0.853,0.853,0.853,0.853,0.853,0.853,0.853,0.884
LED2 DC,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.9279999999999999
LED3 AC,0.855,0.855,0.855,0.855,0.855,0.855,0.855,0.855,0.855,0.855,0.868
HP Elite DC,0.878,0.878,0.878,0.878,0.878,0.878,0.878,0.8809999999999999,0.885,0.89,0.8975
HP Envy DC,0.898,0.898,0.898,0.898,0.898,0.898,0.899,0.8985,0.898,0.8975,0.789
HP Pavilion DC,0.9109999999999999,0.9109999999999999,0.9109999999999999,0.9109999999999999,0.9109999999999999,0.9059999999999999,0.8959999999999999,0.8945000000000001,0.889,0.884,0.9279999999999999
LED1 DC,0.9279999999999999,0.9279999999999999,0.9279999999999999,0.9279999999999999,0.9279999999999999,0.9279999999999999,0.9279999999999999,0.9279999999999999,0.9279999999999999,0.9279999999999999,0.898
LED2 AC,0.848,0.848,0.848,0.848,0.848,0.848,0.848,0.848,0.848,0.852,0.893
