,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.75,0.8,0.9,1.0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SlopeTest,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.75,0.8,0.9,1.0
Power Optimizer L,0.9718000000000001,0.9858,0.9904999999999999,0.9925,0.9933,0.9933,0.9933,0.9933,0.9933,0.9929000000000001,0.9928
MPPT CC L,0.9758424242424242,0.9790101010101011,0.98,0.9789111111111112,0.9774262626262626,0.9764,0.9739616161616161,0.9730707070707071,0.9721797979797979,0.9702989898989898,0.9684181818181818
DC-DC HL 0-1,0.8345,0.8898,0.9073,0.9140999999999999,0.9159999999999999,0.9159999999999999,0.9155,0.9143,0.9131,0.9126000000000001,0.9131
DC-DC HL 1-5,0.9479479736290692,0.9682150074104359,0.9756966269739868,0.97835,0.97855,0.97825,0.97725,0.9766250000000001,0.976,0.9743708258803088,0.9724941815301272
DC-DC LED Driver LL,0.7460499973234838,0.933704833788341,0.9516706814410362,0.9622113377228199,0.9668326106739467,0.97,0.97,0.9697923023392752,0.9695846046785503,0.96870188962047,0.9688057384508323
AC Transformer,0.982,0.988,0.9901500000000001,0.991,0.992,0.992,0.992,0.992,0.9915,0.9905,0.9895
AC Transformer Steve,0.9665,0.9792000000000001,0.9818000000000001,0.9818000000000001,0.9809,0.9793999999999999,0.9776,0.9765999999999999,0.9756,0.9736,0.9714
String Inverter L,0.922,0.953,0.96,0.9615,0.963,0.9624,0.9628,0.963,0.9621999999999999,0.9606,0.9590000000000001
String Inverter H,0.966,0.975,0.98,0.98,0.98,0.98,0.981,0.98,0.9798,0.9794,0.9790000000000001
Central Inverter,0.9662000000000001,0.9774,0.97935,0.979725,0.9801,0.98004,0.97948,0.9792000000000001,0.9783,0.9764999999999999,0.9746999999999999
Microinverter L,0.91055,0.9420000000000001,0.9505000000000001,0.95125,0.9544999999999999,0.9555,0.9564000000000001,0.9570000000000001,0.9562,0.9546,0.953
Microinverter H,0.9195,0.9515,0.9575,0.95575,0.954,0.9543999999999999,0.9556,0.957,0.9568,0.9563999999999999,0.956
Rectifier LED LL,0.7254,0.8564499999999999,0.88745,0.9036500000000001,0.9110500000000001,0.91605,0.9171499999999999,0.9176,0.9175,0.9159,0.9159
Rectifier LED HL,0.747982359869372,0.8528795706408265,0.8841456287809841,0.897428639113443,0.9047582204614808,0.9150136168959795,0.923043310669736,0.9255823424701535,0.9281213742705712,0.9316481449756411,0.9347000000000001
Rectifier LL 0-1,0.7802,0.8648,0.8909,0.8996999999999999,0.9041,0.9015000000000001,0.9047,0.9022,0.9022,0.9015000000000001,0.8991
Rectifier LL 1-5,0.8644,0.9070999999999999,0.922,0.9229,0.9198000000000001,0.9148999999999999,0.9087999999999999,0.9052,0.9016,0.8945000000000001,0.8879
Rectifier HL 0-1,0.77005,0.84015,0.8731,0.8907499999999999,0.9026000000000001,0.90845,0.91475,0.9158,0.91685,0.9198500000000001,0.9222999999999999
Rectifier HL 1-15,0.9065597595107288,0.939562972944957,0.9516,0.9571,0.9601999999999999,0.9605,0.9605,0.9599,0.9594,0.9571,0.9524268684565151
Rectifier LH,0.8785395069532238,0.9247544247787611,0.946189633375474,0.9561724610198062,0.9589,0.9575,0.9567,0.9548000000000001,0.9529000000000001,0.9484999999999999,0.9443
Rectifier HH,0.9147290969899666,0.9519,0.965,0.9682999999999999,0.9693999999999999,0.9691,0.9693,0.9693499999999999,0.9693999999999999,0.9682999999999999,0.9672
Grid Tie Inverter,0.9548007172131148,0.9687607581967213,0.9722515368852459,0.9726257684426229,0.973,0.9726012295081967,0.9722024590163933,0.9720030737704918,0.9716043032786885,0.970806762295082,0.9700092213114754
Battery Inverter LL,0.871,0.922,0.929,0.931,0.9329999999999999,0.9306,0.9238,0.92,0.919,0.9156,0.9079999999999999
Battery Inverter HL,0.9548007172131148,0.9687607581967213,0.9722515368852459,0.9726257684426229,0.973,0.9726012295081967,0.9722024590163933,0.9720030737704918,0.9716043032786885,0.970806762295082,0.9700092213114754
HP Elite AC,0.867,0.867,0.867,0.867,0.867,0.867,0.867,0.868,0.868,0.866,0.866
HP Envy AC,0.871,0.871,0.871,0.871,0.871,0.87,0.8690000000000001,0.8690000000000001,0.868,0.868,0.853
HP Pavilion AC,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847
LED1 AC,0.853,0.853,0.853,0.853,0.853,0.853,0.853,0.853,0.853,0.853,0.884
LED2 DC,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.9279999999999999
LED3 AC,0.855,0.855,0.855,0.855,0.855,0.855,0.855,0.855,0.855,0.855,0.868
HP Elite DC,0.878,0.878,0.878,0.878,0.878,0.878,0.878,0.8809999999999999,0.885,0.89,0.8975
HP Envy DC,0.898,0.898,0.898,0.898,0.898,0.898,0.899,0.8985,0.898,0.8975,0.789
HP Pavilion DC,0.9109999999999999,0.9109999999999999,0.9109999999999999,0.9109999999999999,0.9109999999999999,0.9059999999999999,0.8959999999999999,0.8945000000000001,0.889,0.884,0.9279999999999999
LED1 DC,0.9279999999999999,0.9279999999999999,0.9279999999999999,0.9279999999999999,0.9279999999999999,0.9279999999999999,0.9279999999999999,0.9279999999999999,0.9279999999999999,0.9279999999999999,0.898
LED2 AC,0.848,0.848,0.848,0.848,0.848,0.848,0.848,0.848,0.848,0.852,0.893
