Time,Zone1/converter,Zone1/standby,Grid4/grid/converter,Grid4/grid/standby,Grid4/grid/wire,PV1/solar/converter,PV1/solar/standby,PV1/solar/wire,Light2/light string 1/converter,Light2/light string 1/standby,Light2/light string 1/wire,Light2/light string 2/converter,Light2/light string 2/standby,Light2/light string 2/wire,Fan3/fan/converter,Fan3/fan/standby,Fan3/fan/wire,Total Loss,Total Load,Efficiency
1.0,0.0,0.0,3.0835939755714947,0.9,0.0,0.28383838383838056,0.1,0.0,1.7248595364273882,0.5,0.3744,1.1448717413414684,0.5,0.16640000000000005,0.0,0.5,3.708,12.985963637178731,235.63026872223114,0.947728912135096
2.0,0.0,0.0,3.0835939755714947,0.9,0.0,0.28383838383838056,0.1,0.0,1.7248595364273882,0.5,0.3744,1.1448717413414684,0.5,0.16640000000000005,0.0,0.5,3.708,12.985963637178731,235.63026872223114,0.947728912135096
3.0,0.0,0.0,3.0835939755714947,0.9,0.0,0.28383838383838056,0.1,0.0,1.7248595364273882,0.5,0.3744,1.1448717413414684,0.5,0.16640000000000005,0.0,0.5,3.708,12.985963637178731,235.63026872223114,0.947728912135096
4.0,0.0,0.0,3.0835939755714947,0.9,0.0,0.28383838383838056,0.1,0.0,1.7248595364273882,0.5,0.3744,1.1448717413414684,0.5,0.16640000000000005,0.0,0.5,3.708,12.985963637178731,235.63026872223114,0.947728912135096
5.0,0.0,0.0,3.0835939755714947,0.9,0.0,0.28383838383838056,0.1,0.0,1.7248595364273882,0.5,0.3744,1.1448717413414684,0.5,0.16640000000000005,0.0,0.5,3.708,12.985963637178731,235.63026872223114,0.947728912135096
6.0,0.0,0.0,3.0835939755714947,0.9,0.0,0.28383838383838056,0.1,0.0,1.7248595364273882,0.5,0.3744,1.1448717413414684,0.5,0.16640000000000005,0.0,0.5,3.708,12.985963637178731,235.63026872223114,0.947728912135096
7.0,0.0,0.0,3.0835939755714947,0.9,0.0,0.28383838383838056,0.1,0.0,1.7248595364273882,0.5,0.3744,1.1448717413414684,0.5,0.16640000000000005,0.0,0.5,3.708,12.985963637178731,235.63026872223114,0.947728912135096
8.0,0.0,0.0,3.0835939755714947,0.9,0.0,0.28383838383838056,0.1,0.0,1.7248595364273882,0.5,0.3744,1.1448717413414684,0.5,0.16640000000000005,0.0,0.5,3.708,12.985963637178731,235.63026872223114,0.947728912135096
9.0,0.0,0.0,3.0835939755714947,0.9,0.0,0.28383838383838056,0.1,0.0,1.7248595364273882,0.5,0.3744,1.1448717413414684,0.5,0.16640000000000005,0.0,0.5,3.708,12.985963637178731,235.63026872223114,0.947728912135096
10.0,0.0,0.0,3.0835939755714947,0.9,0.0,0.28383838383838056,0.1,0.0,1.7248595364273882,0.5,0.3744,1.1448717413414684,0.5,0.16640000000000005,0.0,0.5,3.708,12.985963637178731,235.63026872223114,0.947728912135096
11.0,0.0,0.0,3.0835939755714947,0.9,0.0,0.28383838383838056,0.1,0.0,1.7248595364273882,0.5,0.3744,1.1448717413414684,0.5,0.16640000000000005,0.0,0.5,3.708,12.985963637178731,235.63026872223114,0.947728912135096
12.0,0.0,0.0,3.0835939755714947,0.9,0.0,0.28383838383838056,0.1,0.0,1.7248595364273882,0.5,0.3744,1.1448717413414684,0.5,0.16640000000000005,0.0,0.5,3.708,12.985963637178731,235.63026872223114,0.947728912135096
13.0,0.0,0.0,3.0835939755714947,0.9,0.0,0.28383838383838056,0.1,0.0,1.7248595364273882,0.5,0.3744,1.1448717413414684,0.5,0.16640000000000005,0.0,0.5,3.708,12.985963637178731,235.63026872223114,0.947728912135096
14.0,0.0,0.0,3.0835939755714947,0.9,0.0,0.28383838383838056,0.1,0.0,1.7248595364273882,0.5,0.3744,1.1448717413414684,0.5,0.16640000000000005,0.0,0.5,3.708,12.985963637178731,235.63026872223114,0.947728912135096
15.0,0.0,0.0,3.0835939755714947,0.9,0.0,0.28383838383838056,0.1,0.0,1.7248595364273882,0.5,0.3744,1.1448717413414684,0.5,0.16640000000000005,0.0,0.5,3.708,12.985963637178731,235.63026872223114,0.947728912135096
16.0,0.0,0.0,3.0835939755714947,0.9,0.0,0.28383838383838056,0.1,0.0,1.7248595364273882,0.5,0.3744,1.1448717413414684,0.5,0.16640000000000005,0.0,0.5,3.708,12.985963637178731,235.63026872223114,0.947728912135096
17.0,0.0,0.0,3.0835939755714947,0.9,0.0,0.28383838383838056,0.1,0.0,1.7248595364273882,0.5,0.3744,1.1448717413414684,0.5,0.16640000000000005,0.0,0.5,3.708,12.985963637178731,235.63026872223114,0.947728912135096
18.0,0.0,0.0,3.0835939755714947,0.9,0.0,0.28383838383838056,0.1,0.0,1.7248595364273882,0.5,0.3744,1.1448717413414684,0.5,0.16640000000000005,0.0,0.5,3.708,12.985963637178731,235.63026872223114,0.947728912135096
